Quotazioni Immobiliari : Valori di Mercato - Semestre 2024/2 - elaborazione del 21-AGO-25
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;20;Abitazioni civili;OTTIMO; ;2800;3300;L;11;14,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;20;Abitazioni civili;NORMALE;P;1950;2850;L;10,5;13,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;21;Abitazioni di tipo economico;NORMALE;P;1700;2300;L;5,4;8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;13;Box;NORMALE;P;2100;2500;L;8,3;10,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;14;Posti auto coperti;NORMALE;P;1350;1450;L;6,2;8,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;15;Posti auto scoperti;NORMALE;P;910;1000;L;4,2;5,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;9;Magazzini;NORMALE;P;550;830;L;3,4;4,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;5;Negozi;OTTIMO; ;3500;5300;L;25;32,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;5;Negozi;NORMALE;P;2550;3800;L;17,5;26,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;6;Uffici;NORMALE;P;1650;2200;L;8;10;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B1;BG00000020;6;Uffici;OTTIMO; ;2500;2800;L;11;15;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;20;Abitazioni civili;OTTIMO; ;2900;3200;L;10;13,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;20;Abitazioni civili;NORMALE;P;2100;2750;L;9,7;11,6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;21;Abitazioni di tipo economico;NORMALE;P;1400;1800;L;6,1;8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;13;Box;NORMALE;P;2000;2500;L;7;10,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;14;Posti auto coperti;NORMALE;P;1300;1450;L;6,3;8,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;15;Posti auto scoperti;NORMALE;P;880;980;L;4,3;5,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;9;Magazzini;NORMALE;P;600;800;L;4;6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;5;Negozi;NORMALE;P;2500;3600;L;12;22;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;6;Uffici;OTTIMO; ;2500;2800;L;11;13;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B2;BG00000021;6;Uffici;NORMALE;P;1550;2100;L;6,8;10,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;20;Abitazioni civili;NORMALE;P;1700;2250;L;8;11,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;21;Abitazioni di tipo economico;NORMALE;P;1150;1700;L;4,8;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;13;Box;NORMALE;P;2000;2400;L;8,3;10,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;14;Posti auto coperti;NORMALE;P;1300;1700;L;6,2;8,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;15;Posti auto scoperti;NORMALE;P;900;1200;L;4,2;5,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;9;Magazzini;NORMALE;P;520;700;L;3,4;4,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;5;Negozi;NORMALE;P;1900;2900;L;10;18;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;6;Uffici;NORMALE;P;1400;1850;L;6,5;9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B3;BG00001311;6;Uffici;OTTIMO; ;1900;2400;L;9;12,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;20;Abitazioni civili;OTTIMO; ;2100;2450;L;11,8;13,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;20;Abitazioni civili;NORMALE;P;1400;2000;L;9;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;21;Abitazioni di tipo economico;NORMALE;P;1300;1600;L;4,5;6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;13;Box;NORMALE;P;1800;2050;L;8,3;10,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;14;Posti auto coperti;NORMALE;P;1300;1350;L;6,2;8,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;15;Posti auto scoperti;NORMALE;P;860;980;L;4,2;5,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;9;Magazzini;NORMALE;P;600;850;L;3;5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;5;Negozi;NORMALE;P;2000;2800;L;11,5;18;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B4;BG00001312;6;Uffici;NORMALE;P;1500;2100;L;8;13;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B6;BG00001652;20;Abitazioni civili;NORMALE;P;3100;4300;L;;;;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B6;BG00001652;21;Abitazioni di tipo economico;NORMALE;P;2100;3300;L;;;;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;B;B6;BG00001652;5;Negozi;NORMALE;P;3500;6000;L;20;40;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;20;Abitazioni civili;OTTIMO; ;1900;2300;L;11;14,8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;20;Abitazioni civili;NORMALE;P;1500;2000;L;8,3;10,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;21;Abitazioni di tipo economico;NORMALE;P;1050;1350;L;4;6,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;13;Box;NORMALE;P;1200;1800;L;6;8,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;14;Posti auto coperti;NORMALE;P;1050;1450;L;5,1;7,3;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;15;Posti auto scoperti;NORMALE;P;730;980;L;4;5,7;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;17;Centri commerciali;NORMALE;P;800;1100;L;5;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;9;Magazzini;NORMALE;P;500;620;L;2,6;3,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;5;Negozi;NORMALE;P;1500;2100;L;9;13,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;6;Uffici;NORMALE;P;1400;2100;L;7,4;11;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C12;BG00012023;10;Laboratori;NORMALE;P;1100;1600;L;5;7,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;20;Abitazioni civili;OTTIMO; ;2100;2600;L;10,5;14,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;20;Abitazioni civili;NORMALE;P;1500;2150;L;6,9;9,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;21;Abitazioni di tipo economico;NORMALE;P;1200;1600;L;5;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;13;Box;NORMALE;P;1800;2200;L;7;9,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;14;Posti auto coperti;NORMALE;P;1300;1350;L;6,2;8,2;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;15;Posti auto scoperti;NORMALE;P;860;980;L;4,2;5,4;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;9;Magazzini;NORMALE;P;500;620;L;3;3,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;5;Negozi;NORMALE;P;1500;2300;L;10;17;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;6;Uffici;NORMALE;P;1400;2100;L;7,4;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C13;BG00012065;10;Laboratori;NORMALE;P;1000;1400;L;4,7;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;20;Abitazioni civili;OTTIMO; ;2600;3300;L;12;14,5;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;20;Abitazioni civili;NORMALE;P;1600;2200;L;8;12;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;4;5,6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;13;Box;NORMALE;P;1500;2000;L;6;9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;14;Posti auto coperti;NORMALE;P;1300;1350;L;6,2;8,2;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;9;Magazzini;NORMALE;P;550;690;L;2,8;4,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;5;Negozi;OTTIMO; ;1700;2300;L;9;16;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;5;Negozi;NORMALE;P;1300;1900;L;8;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C14;BG00012066;6;Uffici;NORMALE;P;1400;1900;L;7,4;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;20;Abitazioni civili;OTTIMO; ;2250;2600;L;7,5;8,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;20;Abitazioni civili;NORMALE;P;1750;2300;L;5,7;8,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;21;Abitazioni di tipo economico;NORMALE;P;1500;1800;L;5;6,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;13;Box;NORMALE;P;1300;1750;L;6,1;8,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;14;Posti auto coperti;NORMALE;P;900;1050;L;4,4;6,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;15;Posti auto scoperti;NORMALE;P;640;720;L;3;4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;1;Ville e Villini;NORMALE;P;2300;2900;L;8;11,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;9;Magazzini;NORMALE;P;500;620;L;3;3,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;5;Negozi;NORMALE;P;1300;1900;L;9;14;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C2;BG00000023;6;Uffici;NORMALE;P;1400;2200;L;7;13;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;20;Abitazioni civili;NORMALE;P;1500;2200;L;7;9,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;21;Abitazioni di tipo economico;NORMALE;P;1200;1600;L;4,9;7,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;13;Box;NORMALE;P;1150;1400;L;5,4;8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;14;Posti auto coperti;NORMALE;P;980;1050;L;4,6;6,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;15;Posti auto scoperti;NORMALE;P;660;720;L;3,1;4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;1;Ville e Villini;NORMALE;P;2100;2500;L;7,1;9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;17;Centri commerciali;NORMALE;P;900;1000;L;6;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;9;Magazzini;NORMALE;P;400;600;L;2;3,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;5;Negozi;NORMALE;P;1400;2100;L;7;13;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;6;Uffici;NORMALE;P;1500;2100;L;7,6;13;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C4;BG00000025;10;Laboratori;NORMALE;P;670;1000;L;3,4;5,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;20;Abitazioni civili;NORMALE;P;1300;1700;L;4,4;7,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;3,8;4,8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;13;Box;NORMALE;P;940;1200;L;4,1;6,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;14;Posti auto coperti;NORMALE;P;650;720;L;3,1;4,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;15;Posti auto scoperti;NORMALE;P;430;480;L;2;2,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;1;Ville e Villini;NORMALE;P;1550;2200;L;7,5;10,6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;17;Centri commerciali;NORMALE;P;900;1000;L;6;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;9;Magazzini;NORMALE;P;420;570;L;2,3;3,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;5;Negozi;NORMALE;P;1400;1900;L;6;10;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;6;Uffici;NORMALE;P;1300;1800;L;7;11;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C5;BG00000026;10;Laboratori;NORMALE;P;670;1000;L;3,4;5,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;20;Abitazioni civili;NORMALE;P;1400;1950;L;7,5;11;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;21;Abitazioni di tipo economico;NORMALE;P;1100;1400;L;4,2;5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;13;Box;NORMALE;P;2000;2400;L;8,3;10,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;14;Posti auto coperti;NORMALE;P;1300;1350;L;6,2;8,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;1;Ville e Villini;NORMALE;P;2700;3100;L;7,5;9,5;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;9;Magazzini;NORMALE;P;500;800;L;3;5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;5;Negozi;NORMALE;P;2000;2300;L;7,1;11,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C7;BG00001314;6;Uffici;NORMALE;P;1500;2100;L;7;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;20;Abitazioni civili;NORMALE;P;1500;2100;L;5,2;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;21;Abitazioni di tipo economico;NORMALE;P;900;1150;L;4,2;6,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;13;Box;NORMALE;P;840;1150;L;4;5,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;14;Posti auto coperti;NORMALE;P;620;700;L;2,8;4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;15;Posti auto scoperti;NORMALE;P;405;475;L;1,9;2,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;17;Centri commerciali;NORMALE;P;900;1000;L;6;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;9;Magazzini;NORMALE;P;380;520;L;2,3;3,4;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;5;Negozi;NORMALE;P;1400;1900;L;8;12;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;6;Uffici;NORMALE;P;1150;1700;L;7;10,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;7;Capannoni tipici;NORMALE;P;500;900;L;3,3;6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;C;C9;BG00001319;10;Laboratori;NORMALE;P;800;1100;L;3,6;5,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;20;Abitazioni civili;OTTIMO; ;1700;2200;L;8,5;10;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;20;Abitazioni civili;NORMALE;P;1500;1900;L;7;11;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;21;Abitazioni di tipo economico;NORMALE;P;1200;1550;L;4;5,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;13;Box;NORMALE;P;1150;1550;L;4,9;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;14;Posti auto coperti;NORMALE;P;840;980;L;4;5,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;15;Posti auto scoperti;NORMALE;P;570;660;L;2,5;3,6;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;1;Ville e Villini;NORMALE;P;1600;2300;L;6;9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;17;Centri commerciali;NORMALE;P;900;1000;L;6;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;9;Magazzini;NORMALE;P;300;445;L;2;3,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;5;Negozi;NORMALE;P;1500;2000;L;6;9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;6;Uffici;NORMALE;P;1300;2000;L;5,7;8,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;7;Capannoni tipici;NORMALE;P;640;950;L;4,5;6,8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D1;BG00000027;10;Laboratori;NORMALE;P;600;820;L;3,6;5,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;20;Abitazioni civili;OTTIMO; ;3000;3700;L;;;;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;20;Abitazioni civili;NORMALE;P;1600;2400;L;5;7,2;L;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;21;Abitazioni di tipo economico;NORMALE;P;1050;1400;L;3,8;5,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;13;Box;NORMALE;P;1100;1500;L;4,7;6,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;14;Posti auto coperti;NORMALE;P;810;940;L;3,8;5,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;15;Posti auto scoperti;NORMALE;P;550;630;L;2,4;3,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;1;Ville e Villini;NORMALE;P;1650;2200;L;5,3;7,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;17;Centri commerciali;NORMALE;P;900;1000;L;5,1;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;9;Magazzini;NORMALE;P;300;500;L;1,6;2,8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;5;Negozi;NORMALE;P;1600;1950;L;7;10,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;6;Uffici;NORMALE;P;1400;2000;L;5;7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;7;Capannoni tipici;NORMALE;P;590;820;L;3,3;4,9;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D2;BG00000028;10;Laboratori;NORMALE;P;620;900;L;3,4;5,1;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;20;Abitazioni civili;NORMALE;P;1450;2000;L;6,5;8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;20;Abitazioni civili;OTTIMO; ;2000;2300;L;7,8;9,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;21;Abitazioni di tipo economico;NORMALE;P;1000;1350;L;4,1;5,2;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;13;Box;NORMALE;P;1000;1400;L;4,8;6,7;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;14;Posti auto coperti;NORMALE;P;800;1050;L;3,8;5,3;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;15;Posti auto scoperti;NORMALE;P;550;630;L;2,4;3,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;1;Ville e Villini;NORMALE;P;1550;2250;L;5,3;7,5;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;9;Magazzini;NORMALE;P;300;500;L;1,6;2,8;N;
NORD-OVEST;LOMBARDIA;BG;3016024;C2AA; ;A794;BERGAMO;D;D3;BG00001320;5;Negozi;NORMALE;P;1300;1950;L;7;10,5;N;
